#Time_0	Temp_A0	Time_1	Temp_A1
0.250   27.12	0.501	26.68
0.751	29.25	1.002	26.68
1.252	32.74	1.503	26.78
1.752	35.33	2.003	26.78
2.253	37.18	2.504	26.78
2.754	38.47	3.005	26.68
3.255	39.43	3.505	26.78
3.755	40.16	4.006	26.78
4.256	40.77	4.506	26.78
4.757	41.27	5.007	26.78
5.258	41.76	5.507	26.78
5.758	42.26	6.008	26.78
6.259	42.77	6.509	26.78
6.760	43.15	7.010	26.78
7.260	43.41	7.510	26.78
7.761	43.79	8.011	26.78
8.262	44.05	8.512	26.78
8.763	44.31	9.013	26.78
9.263	44.70	9.513	26.68
9.764	44.83	10.014	26.78
10.265	45.09	10.515	26.68
10.765	45.22	11.015	26.68
11.265	45.36	11.516	26.68
11.766	45.62	12.017	26.78
12.267	45.62	12.518	26.68
12.768	45.62	13.018	26.78
13.268	45.75	13.519	26.78
13.769	45.89	14.020	26.68
14.270	46.02	14.521	26.78
14.770	46.15	15.021	26.68
15.271	46.29	15.522	26.68
15.772	46.42	16.023	26.78
16.273	46.42	16.524	26.78
16.773	46.42	17.023	26.68
17.274	46.42	17.524	26.68
17.775	46.56	18.025	26.68
18.276	46.56	18.525	26.58
18.776	46.69	19.026	26.58
19.277	46.83	19.527	26.58
19.778	46.83	20.028	26.58
20.279	46.96	20.528	26.58
20.779	46.96	21.029	26.47
21.280	47.10	21.530	26.47
21.781	47.10	22.031	26.47
22.282	47.10	22.531	26.47
22.782	46.96	23.032	26.47
23.282	47.10	23.533	26.47
23.783	47.10	24.034	26.47
24.283	47.24	24.534	26.47
24.784	47.24	25.035	26.47
25.285	47.24	25.536	26.47
25.786	47.37	26.037	26.47
26.286	47.37	26.537	26.37
26.787	47.51	27.038	26.47
27.288	47.65	27.539	26.37
27.789	47.65	28.039	26.47
28.289	47.65	28.540	26.47
28.790	47.79	29.041	26.47
29.291	47.65	29.541	26.47
29.792	47.79	30.041	26.47
30.292	47.79	30.542	26.58
30.793	47.79	31.043	26.58
31.294	47.79	31.544	26.58
31.794	47.79	32.044	26.58
32.295	47.79	32.545	26.58
32.796	47.79	33.046	26.47
33.297	47.79	33.547	26.58
33.797	47.92	34.047	26.47
34.298	47.79	34.548	26.47
34.799	47.79	35.049	26.47
35.300	47.79	35.549	26.47
35.799	47.92	36.050	26.47
36.300	47.92	36.551	26.47
36.801	47.92	37.052	26.47
37.302	47.92	37.552	26.47
37.802	47.92	38.053	26.47
38.303	47.92	38.554	26.47
38.804	47.92	39.055	26.37
39.304	47.92	39.555	26.37
39.805	48.06	40.056	26.37
40.306	48.06	40.557	26.37
40.807	48.06	41.058	26.47
41.307	48.06	41.557	26.37
41.808	47.92	42.058	26.37
42.309	48.06	42.559	26.37
42.810	48.06	43.059	26.37
43.310	48.20	43.560	26.37
