#Time_0	Temp_A0	Time_1	Temp_A1
0.251	26.49	0.501	32.68
0.752	26.49	1.002	35.67
1.251	26.49	1.502	37.73
1.752	26.49	2.003	38.79
2.253	26.49	2.504	39.86
2.754	26.49	3.004	40.71
3.254	26.38	3.505	41.20
3.755	26.49	4.006	41.56
4.256	26.49	4.507	42.06
4.757	26.49	5.007	42.31
5.257	26.49	5.508	42.56
5.758	26.49	6.009	42.81
6.259	26.49	6.510	42.94
6.759	26.49	7.009	43.06
7.260	26.49	7.510	43.19
7.761	26.49	8.011	43.45
8.262	26.49	8.512	43.70
8.762	26.49	9.012	43.96
9.263	26.49	9.513	44.09
9.764	26.49	10.014	44.22
10.265	26.49	10.514	44.34
10.765	26.49	11.015	44.47
11.266	26.49	11.516	44.73
11.767	26.49	12.017	44.73
12.268	26.49	12.517	44.86
12.768	26.49	13.018	44.86
13.268	26.49	13.519	45.13
13.769	26.49	14.020	45.13
14.269	26.38	14.520	45.26
14.770	26.49	15.021	45.26
15.271	26.49	15.522	45.39
15.772	26.49	16.023	45.39
16.272	26.49	16.523	45.39
16.773	26.49	17.024	45.52
17.274	26.49	17.525	45.65
17.775	26.49	18.026	45.79
18.275	26.49	18.526	45.92
18.776	26.49	19.027	45.92
19.277	26.49	19.527	46.05
19.778	26.49	20.027	46.05
20.278	26.59	20.528	46.19
20.779	26.59	21.029	46.19
21.280	26.59	21.530	46.32
21.781	26.59	22.030	46.32
22.281	26.59	22.531	46.59
22.782	26.59	23.032	46.73
23.283	26.59	23.533	46.73
23.783	26.59	24.033	46.73
24.284	26.70	24.534	46.73
24.784	26.59	25.035	46.73
25.285	26.59	25.536	46.73
25.785	26.70	26.036	46.73
26.286	26.59	26.537	46.59
26.787	26.70	27.038	46.73
27.288	26.70	27.538	46.73
27.788	26.70	28.039	46.73
28.289	26.59	28.540	46.73
28.790	26.70	29.041	46.73
29.291	26.70	29.541	46.73
29.791	26.70	30.042	46.73
30.292	26.70	30.543	46.73
30.793	26.70	31.043	46.73
31.293	26.70	31.543	46.86
31.794	26.70	32.044	46.73
32.295	26.80	32.545	46.73
32.796	26.70	33.046	46.86
33.296	26.70	33.546	46.86
33.797	26.80	34.047	46.86
34.298	26.80	34.548	47.00
34.799	26.80	35.048	47.00
35.299	26.91	35.549	47.00
35.800	26.91	36.050	47.00
36.300	26.91	36.551	47.00
36.801	26.91	37.051	47.13
37.301	26.91	37.552	47.13
37.802	26.91	38.053	47.00
38.303	26.91	38.554	47.13
38.804	26.91	39.054	47.00
39.304	26.91	39.555	47.00
39.805	26.91	40.056	47.00
40.306	27.02	40.557	47.00
